datetime,open,high,low,close,volume
2026-07-09 11:18:00+00:00,29601.25,29636.5,29599.5,29631.0,723
2026-07-09 11:21:00+00:00,29632.5,29634.75,29612.0,29620.75,553
2026-07-09 11:24:00+00:00,29621.75,29641.5,29616.5,29631.25,419
2026-07-09 11:27:00+00:00,29632.5,29643.75,29619.75,29641.0,313
2026-07-09 11:30:00+00:00,29641.0,29664.0,29626.75,29662.5,876
2026-07-09 11:33:00+00:00,29662.0,29670.25,29655.0,29668.0,342
2026-07-09 11:36:00+00:00,29668.25,29673.75,29650.0,29660.75,403
2026-07-09 11:39:00+00:00,29660.5,29671.0,29654.0,29657.75,371
2026-07-09 11:42:00+00:00,29659.5,29690.0,29659.25,29683.25,395
2026-07-09 11:45:00+00:00,29684.75,29702.5,29679.75,29699.75,621
2026-07-09 11:48:00+00:00,29699.25,29712.5,29674.25,29712.5,1184
2026-07-09 11:51:00+00:00,29712.5,29721.75,29707.75,29707.75,664
2026-07-09 11:54:00+00:00,29707.75,29712.75,29701.0,29708.5,442
2026-07-09 11:57:00+00:00,29707.75,29709.5,29690.0,29696.0,686
2026-07-09 12:00:00+00:00,29696.75,29709.0,29685.75,29707.0,488
2026-07-09 12:03:00+00:00,29708.25,29709.0,29681.0,29683.25,691
2026-07-09 12:06:00+00:00,29682.5,29723.75,29681.0,29716.25,721
2026-07-09 12:09:00+00:00,29716.0,29732.75,29714.0,29723.5,557
2026-07-09 12:12:00+00:00,29722.5,29726.0,29712.5,29715.75,446
2026-07-09 12:15:00+00:00,29716.25,29724.0,29709.0,29712.5,382
2026-07-09 12:18:00+00:00,29712.0,29722.25,29704.25,29719.0,477
2026-07-09 12:21:00+00:00,29717.75,29734.5,29712.0,29731.5,476
2026-07-09 12:24:00+00:00,29732.25,29755.0,29730.0,29738.0,1035
2026-07-09 12:27:00+00:00,29738.5,29749.25,29733.5,29749.25,530
2026-07-09 12:30:00+00:00,29748.0,29776.25,29740.0,29771.0,1153
2026-07-09 12:33:00+00:00,29771.0,29775.5,29754.5,29775.5,879
2026-07-09 12:36:00+00:00,29776.0,29781.5,29769.75,29777.75,905
2026-07-09 12:39:00+00:00,29776.75,29786.5,29767.0,29770.75,999
2026-07-09 12:42:00+00:00,29770.75,29771.75,29745.75,29748.5,879
2026-07-09 12:45:00+00:00,29748.25,29748.5,29715.25,29726.5,1146
2026-07-09 12:48:00+00:00,29726.0,29748.0,29721.0,29739.25,853
2026-07-09 12:51:00+00:00,29737.75,29747.75,29733.5,29737.0,470
2026-07-09 12:54:00+00:00,29737.0,29748.25,29731.25,29738.25,510
2026-07-09 12:57:00+00:00,29736.75,29743.75,29728.0,29736.0,485
2026-07-09 13:00:00+00:00,29735.25,29752.0,29733.0,29750.0,545
2026-07-09 13:03:00+00:00,29749.25,29752.25,29731.75,29734.0,578
2026-07-09 13:06:00+00:00,29733.0,29744.25,29725.25,29736.5,695
2026-07-09 13:09:00+00:00,29736.75,29745.75,29728.75,29741.5,413
2026-07-09 13:12:00+00:00,29743.0,29759.5,29741.0,29757.25,761
2026-07-09 13:15:00+00:00,29757.25,29758.75,29740.5,29751.5,868
2026-07-09 13:18:00+00:00,29750.0,29750.5,29726.75,29732.5,876
2026-07-09 13:21:00+00:00,29733.5,29746.0,29727.75,29740.25,681
2026-07-09 13:24:00+00:00,29740.75,29754.5,29732.75,29743.25,1177
2026-07-09 13:27:00+00:00,29743.25,29758.0,29730.0,29745.25,2135
2026-07-09 13:30:00+00:00,29746.75,29755.0,29672.0,29700.0,9833
2026-07-09 13:33:00+00:00,29699.25,29818.0,29691.75,29808.75,7058
2026-07-09 13:36:00+00:00,29807.5,29863.0,29796.25,29847.75,5510
2026-07-09 13:39:00+00:00,29846.75,29860.25,29811.75,29836.0,5847
2026-07-09 13:42:00+00:00,29835.5,29871.25,29834.25,29858.5,5136
2026-07-09 13:45:00+00:00,29859.25,29891.75,29857.5,29875.0,6559
2026-07-09 13:48:00+00:00,29875.0,29875.0,29808.5,29836.0,6201
2026-07-09 13:51:00+00:00,29835.5,29911.5,29827.0,29907.25,6171
2026-07-09 13:54:00+00:00,29908.0,29927.5,29896.0,29918.5,4082
2026-07-09 13:57:00+00:00,29917.25,29931.25,29902.5,29909.5,3066
2026-07-09 14:00:00+00:00,29910.0,29922.75,29887.75,29902.25,3697
2026-07-09 14:03:00+00:00,29902.75,29922.25,29886.0,29900.25,3078
2026-07-09 14:06:00+00:00,29900.75,29914.0,29854.25,29863.0,4352
2026-07-09 14:09:00+00:00,29862.5,29876.75,29794.0,29806.5,5329
2026-07-09 14:12:00+00:00,29805.75,29825.25,29785.25,29802.75,4698
2026-07-09 14:15:00+00:00,29803.5,29803.5,29680.25,29705.0,10065
2026-07-09 14:18:00+00:00,29704.0,29726.75,29639.75,29641.0,6242
2026-07-09 14:21:00+00:00,29641.75,29683.25,29614.5,29672.5,6703
2026-07-09 14:24:00+00:00,29671.0,29727.0,29667.0,29704.75,5128
2026-07-09 14:27:00+00:00,29705.5,29777.5,29701.25,29763.75,4552
2026-07-09 14:30:00+00:00,29763.25,29772.0,29694.25,29734.25,4142
2026-07-09 14:33:00+00:00,29734.5,29779.25,29722.5,29768.5,2985
2026-07-09 14:36:00+00:00,29768.5,29776.0,29726.25,29763.0,2410
2026-07-09 14:39:00+00:00,29762.5,29795.25,29757.25,29783.75,2899
2026-07-09 14:42:00+00:00,29782.5,29799.0,29750.5,29758.5,2529
2026-07-09 14:45:00+00:00,29760.0,29804.5,29755.0,29792.0,2556
2026-07-09 14:48:00+00:00,29793.0,29811.0,29759.5,29788.0,2752
2026-07-09 14:51:00+00:00,29789.25,29792.5,29725.25,29741.25,3095
2026-07-09 14:54:00+00:00,29743.0,29785.25,29723.5,29766.75,3000
2026-07-09 14:57:00+00:00,29766.0,29821.25,29753.25,29787.75,3439
2026-07-09 15:00:00+00:00,29788.25,29811.25,29779.5,29783.75,1956
2026-07-09 15:03:00+00:00,29783.75,29833.25,29780.25,29827.25,2297
2026-07-09 15:06:00+00:00,29827.75,29860.0,29827.75,29848.5,3198
2026-07-09 15:09:00+00:00,29850.0,29864.25,29833.25,29841.0,2140
2026-07-09 15:12:00+00:00,29839.25,29861.75,29835.5,29854.75,1884
2026-07-09 15:15:00+00:00,29853.5,29879.0,29844.75,29851.25,2912
2026-07-09 15:18:00+00:00,29852.25,29853.5,29830.0,29846.5,2150
2026-07-09 15:21:00+00:00,29847.0,29876.5,29839.25,29869.0,2453
2026-07-09 15:24:00+00:00,29868.75,29883.25,29867.75,29879.75,1958
2026-07-09 15:27:00+00:00,29880.25,29886.25,29863.75,29873.5,1855
2026-07-09 15:30:00+00:00,29874.25,29883.0,29862.0,29863.25,1749
2026-07-09 15:33:00+00:00,29862.75,29874.0,29856.25,29865.5,1715
2026-07-09 15:36:00+00:00,29865.5,29876.0,29863.0,29875.0,910
2026-07-09 15:39:00+00:00,29874.5,29891.25,29862.0,29887.25,1553
2026-07-09 15:42:00+00:00,29887.5,29899.75,29882.0,29882.0,1748
2026-07-09 15:45:00+00:00,29883.0,29898.5,29880.25,29888.75,1982
2026-07-09 15:48:00+00:00,29889.5,29902.25,29885.75,29899.25,2530
2026-07-09 15:51:00+00:00,29899.5,29905.25,29894.5,29897.75,1374
2026-07-09 15:54:00+00:00,29897.75,29900.75,29878.5,29887.75,1917
2026-07-09 15:57:00+00:00,29889.0,29898.75,29883.5,29886.25,1476
2026-07-09 16:00:00+00:00,29886.5,29913.5,29886.5,29907.5,2114
2026-07-09 16:03:00+00:00,29908.25,29919.0,29904.0,29919.0,1420
2026-07-09 16:06:00+00:00,29918.75,29924.25,29909.0,29913.75,1900
2026-07-09 16:09:00+00:00,29914.25,29917.25,29901.0,29905.75,1175
2026-07-09 16:12:00+00:00,29905.0,29910.5,29896.75,29900.25,1247
2026-07-09 16:15:00+00:00,29900.25,29917.0,29895.25,29903.0,1470
